timestamp_utc,unix_ms,event_type,best_yes_bid,best_no_bid,best_yes_ask,best_no_ask,mid_yes,spread_yes,yes_depth_3,no_depth_3
2026-05-28T02:20:01.382823+00:00,1779934801382,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.385574+00:00,1779934801385,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.407832+00:00,1779934801407,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.410648+00:00,1779934801410,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.413225+00:00,1779934801413,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.414000+00:00,1779934801414,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.436715+00:00,1779934801436,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.437468+00:00,1779934801437,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.462005+00:00,1779934801462,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.463755+00:00,1779934801463,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.464286+00:00,1779934801464,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.464729+00:00,1779934801464,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.495710+00:00,1779934801495,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.522053+00:00,1779934801522,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.546562+00:00,1779934801546,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.547626+00:00,1779934801547,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.548314+00:00,1779934801548,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.548951+00:00,1779934801548,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.575578+00:00,1779934801575,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.605165+00:00,1779934801605,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.630259+00:00,1779934801630,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.631095+00:00,1779934801631,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.631627+00:00,1779934801631,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.687739+00:00,1779934801687,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.743121+00:00,1779934801743,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.744713+00:00,1779934801744,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.779120+00:00,1779934801779,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.780579+00:00,1779934801780,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:01.896912+00:00,1779934801896,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:01.928234+00:00,1779934801928,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:01.929568+00:00,1779934801929,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:01.930509+00:00,1779934801930,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:01.961771+00:00,1779934801961,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:01.965570+00:00,1779934801965,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:01.993200+00:00,1779934801993,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:02.086581+00:00,1779934802086,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:02.145060+00:00,1779934802145,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:02.146634+00:00,1779934802146,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:02.177216+00:00,1779934802177,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1299.65
2026-05-28T02:20:02.179306+00:00,1779934802179,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.180412+00:00,1779934802180,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.207981+00:00,1779934802207,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.209372+00:00,1779934802209,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.210809+00:00,1779934802210,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.211774+00:00,1779934802211,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.212614+00:00,1779934802212,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.213268+00:00,1779934802213,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.213882+00:00,1779934802213,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
2026-05-28T02:20:02.214551+00:00,1779934802214,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1249.65
