timestamp_utc,unix_ms,event_type,best_yes_bid,best_yes_ask,mid_yes,spread_yes,best_no_bid,best_no_ask,mid_no,spread_no,yes_depth_3,no_depth_3
2026-05-28T02:14:15.677729+00:00,1779934455677,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3479.0
2026-05-28T02:14:15.678219+00:00,1779934455678,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3659.0
2026-05-28T02:14:15.678606+00:00,1779934455678,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3859.0
2026-05-28T02:14:15.678990+00:00,1779934455678,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,4059.0
2026-05-28T02:14:15.679445+00:00,1779934455679,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,4059.0
2026-05-28T02:14:15.679975+00:00,1779934455679,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,4059.0
2026-05-28T02:14:15.680397+00:00,1779934455680,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,4059.0
2026-05-28T02:14:15.703267+00:00,1779934455703,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,4059.0
2026-05-28T02:14:15.705794+00:00,1779934455705,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,4059.0
2026-05-28T02:14:15.706580+00:00,1779934455706,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,4059.0
2026-05-28T02:14:15.707334+00:00,1779934455707,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,4059.0
2026-05-28T02:14:15.732600+00:00,1779934455732,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3259.0
2026-05-28T02:14:15.733121+00:00,1779934455733,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3259.0
2026-05-28T02:14:15.733599+00:00,1779934455733,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3259.0
2026-05-28T02:14:15.734005+00:00,1779934455734,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3259.0
2026-05-28T02:14:15.739119+00:00,1779934455739,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3259.0
2026-05-28T02:14:15.740142+00:00,1779934455740,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3259.0
2026-05-28T02:14:15.741014+00:00,1779934455741,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3259.0
2026-05-28T02:14:15.791656+00:00,1779934455791,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,3259.0
2026-05-28T02:14:15.792518+00:00,1779934455792,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,3259.0
2026-05-28T02:14:15.793099+00:00,1779934455793,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,3259.0
2026-05-28T02:14:15.793685+00:00,1779934455793,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,3259.0
2026-05-28T02:14:15.794116+00:00,1779934455794,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,3259.0
2026-05-28T02:14:15.794557+00:00,1779934455794,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,3259.0
2026-05-28T02:14:15.794969+00:00,1779934455794,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3259.0
2026-05-28T02:14:15.795389+00:00,1779934455795,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3259.0
2026-05-28T02:14:15.795789+00:00,1779934455795,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3259.0
2026-05-28T02:14:15.796239+00:00,1779934455796,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4508.8,3259.0
2026-05-28T02:14:15.808861+00:00,1779934455808,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4508.8,3250.0
2026-05-28T02:14:15.809595+00:00,1779934455809,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4508.8,3086.0
2026-05-28T02:14:15.810162+00:00,1779934455810,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4508.8,3086.0
2026-05-28T02:14:15.810688+00:00,1779934455810,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4508.8,3086.0
2026-05-28T02:14:15.811322+00:00,1779934455811,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4508.8,3083.42
2026-05-28T02:14:15.828265+00:00,1779934455828,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4508.8,3083.42
2026-05-28T02:14:15.829253+00:00,1779934455829,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3083.42
2026-05-28T02:14:15.830054+00:00,1779934455830,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3083.42
2026-05-28T02:14:15.855669+00:00,1779934455855,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3083.42
2026-05-28T02:14:15.857157+00:00,1779934455857,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3083.42
2026-05-28T02:14:15.858035+00:00,1779934455858,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3083.42
2026-05-28T02:14:15.858715+00:00,1779934455858,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.862045+00:00,1779934455862,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.862723+00:00,1779934455862,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.894952+00:00,1779934455894,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.895768+00:00,1779934455895,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.896563+00:00,1779934455896,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.914210+00:00,1779934455914,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.942750+00:00,1779934455942,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.950413+00:00,1779934455950,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.951107+00:00,1779934455951,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.951668+00:00,1779934455951,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.974272+00:00,1779934455974,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.974934+00:00,1779934455974,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3079.28
2026-05-28T02:14:15.975689+00:00,1779934455975,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4483.37,3243.28
